keyword	patent	title	sentence	section
	US9596983	Methods and systems for tracking a torsional orientation and position of an eye	In one embodiment, a method comprises selecting at least one marker on the IRIS of the eye in the first image.	In one embodiment, a method comprises selecting at least one marker on the iris of the eye in the first image. A corresponding marker is located on the iris in the second image. The first image of the eye and the second image of the eye are registered by substantially matching a common reference point in the first and second images and matching the marker on the iris of the image of the first eye and the marker on the iris of the image of the second eye. Thereafter, a laser treatment can be centered and torsionally aligned with the second image of the eye. In some embodiments, the second image of the eye can be obtained while the patient's eye is aligned with a laser beam that is to deliver the laser treatment.
	US10159411	Detecting irregular physiological responses during exposure to sensitive data	, an IRIS scan), and/or multi-factor authentication.	Some embodiments of the system configured to detect an irregular physiological response while being exposed to sensitive data include added security measures such as encryption of the sensitive data. Optionally, the system receives the certain sensitive data in an encrypted form, and the computer decrypts the certain sensitive data before presentation via the HMD. The decryption may involve hardware-based decryption, requesting a password from the user, and/or measuring the user with a sensor (e.g., an iris scan), and/or multi-factor authentication.
irises				
	US9280706	Efficient method and system for the acquisition of scene imagery and iris imagery using a single sensor	 Feedback mechanisms can guide the user to move the image capturing device to locate the user's IRISES within an appropriate capture region.	Another approach incorporated in some embodiments of our methods and systems for acquiring optimal standard scene imagery and iris imagery on the same sensor, relating to the wavelength of the illumination, involves multiplexing or positioning an infra-red cut filter over a standard image sensor or lens. In one embodiment, a portion of the sensor (for example, 20% of the sensor or sensor nodes) may be designated primarily for iris recognition, while the remaining (e.g., 80%) portion may be used for standard image acquisition, for example as shown in FIG. 14. A lower portion (e.g., 80%) of the sensor, as in this example, may be covered by a standard IR-cut filter. The remaining 20% of the sensor may remain uncovered. In iris recognition mode, the covered region may be ignored. For example, an iris recognition application executing on the image capturing device may guide the user to position their eyes within the sensing region of the uncovered 20% area. Feedback mechanisms can guide the user to move the image capturing device to locate the user's irises within an appropriate capture region. For example, since the face will be visible in the remaining 80% of the imager, this can be used for user guidance feedback, optionally with icons appearing in place of the eye region. In some embodiments, the image sensor may adjust its orientation to capture an image of the user's iris using the uncovered region.
	US9852338	Biometric imaging method and device	 Taking iris as an example, the micromotor controller 130 can perform simultaneous imaging of the regions of human eyes, and for each frame of the acquired image calculate in real time the central positions of pupils of human left and right eyes using an image processing algorithm to thereby realize real-time lookup and real-time location of IRISES of both eyes in the entire imaging image and cut out said imaging image into a monocular iris image of the left eye or right eye.	For example, the micromotor controller 130 can rapidly locate a biometric region of interest, such as iris region of human eyes with respect to any frame of electronic image as acquired by the image sensor 120. Taking iris as an example, the micromotor controller 130 can perform simultaneous imaging of the regions of human eyes, and for each frame of the acquired image calculate in real time the central positions of pupils of human left and right eyes using an image processing algorithm to thereby realize real-time lookup and real-time location of irises of both eyes in the entire imaging image and cut out said imaging image into a monocular iris image of the left eye or right eye. As shown in FIG. 6, the image resolution is generally 640×480. The monocular iris image of the left eye or right eye obtained by image segmentation can be used as an analysis object for assessment of the definition of the image acquired by the biometric imaging device 100. Then, with respect to any monocular iris or irises of eyes, image analysis is performed on an image quality function (ImageQualityMetrics) thereof. The calculation of said function can be realized by means of a plurality of energy transfer functions F, including but not limited to Discrete Cosine Transform (DCT), Fast Fourier Transform (FFT) or Wavelet Transform (Wavelet), etc. The image quality information obtained by calculation may be an array of image quality parameters, and may also be a single image quality parameter including but not limited to definition, contrast, average gray scale, image information entropy, interpupillary distance, pupil diameter, iris diameter, etc. of the image.
	US9841563	Shuttered waveguide light field display	 Detection is also easily extended to other useful features of the face and eyes, including the eyebrows, nose, mouth, eyelids, scleras, IRISES and pupils [Betke00, Lienhart03, Hansen10].	Approximate eye detection is typically intrinsic to face detection, and more accurate eye positions can be estimated after face detection [Hansen10]. Detection is also easily extended to other useful features of the face and eyes, including the eyebrows, nose, mouth, eyelids, scleras, irises and pupils [Betke00, Lienhart03, Hansen10].
	US9313460	Depth-aware blur kernel estimation method for iris deblurring	The present invention relates to apparatuses and methods for identifying personnel and, more particularly, to apparatuses and methods for identifying personnel based on visual characteristics of the IRISES of their eyes.	The present invention relates to apparatuses and methods for identifying personnel and, more particularly, to apparatuses and methods for identifying personnel based on visual characteristics of the irises of their eyes.
	US10733924	Foveated light field display	 Detection is also easily extended to other useful features of the face and eyes, including the eyebrows, nose, mouth, eyelids, scleras, IRISES and pupils [Betke00, Lienhart03, Hansen10].	Approximate eye detection is typically intrinsic to face detection, and more accurate eye positions can be estimated after face detection [Hansen10]. Detection is also easily extended to other useful features of the face and eyes, including the eyebrows, nose, mouth, eyelids, scleras, irises and pupils [Betke00, Lienhart03, Hansen10].
jail				
	US10296784	Verifying presence of a person during an electronic visitation	, municipal JAILs, county JAILs, state prisons, federal prisons, military stockades, juvenile facilities, detention camps, home incarceration environments, etc.	This specification discloses methods and systems for verifying the presence of one or more actual and/or authorized persons during an electronic visitation. The various techniques described herein may find applicability in a wide variety of controlled-environment facilities (as well as outside of controlled-environment facilities). Various types of controlled-environment facilities are present in today's society, and persons may be voluntary or involuntary residents of such facilities, whether temporarily or permanently. Examples of controlled-environment facilities may include correctional institutions or facilities (e.g., municipal jails, county jails, state prisons, federal prisons, military stockades, juvenile facilities, detention camps, home incarceration environments, etc.), healthcare facilities (e.g., hospitals, nursing homes, mental health facilities, rehabilitation clinics, such as drug and alcohol rehabilitation facilities, etc.), restricted living quarters (e.g., hotels, resorts, camps, dormitories, barracks, etc.), and the like.
kid				
	US9665702	Restricted execution modes	 61/695,294 filed Aug. 30, 2012 entitled “Mobile Device Kid Space”, the disclosure of which is incorporated by reference herein in its entirety.	This application is a continuation of U.S. patent application Ser. No. 13/726,099 filed Dec. 22, 2012 entitled “Restricted Execution Modes,” which claims priority under 35 U.S.C. Section 119(e) to U.S. Provisional Application Ser. No. 61/580,147 filed Dec. 23, 2011 entitled “Mobile Device Shared”, the disclosures of which are incorporated by reference herein in its entirety. This application also claims priority under 35 U.S.C. Section 119(e) to U.S. Provisional Application Ser. No. 61/695,294 filed Aug. 30, 2012 entitled “Mobile Device Kid Space”, the disclosure of which is incorporated by reference herein in its entirety.
	US9426451	Cooperative photography	Imagine you are a parent attending the pre-prom obligatory photo-fest with your KID, their date, and eight other teen-couples to boot.	Imagine you are a parent attending the pre-prom obligatory photo-fest with your kid, their date, and eight other teen-couples to boot. Lots of parents—all with smartphones held proudly forth on the now-milling, now-posing couples, sometimes alone, then ad hoc pairings and then of course the 30 minutes of the big group shots. The prairie dog cameras shooting up and down and all around in the process, also culminating in a large group of parents lined opposite the smaller group of kids, most cameras now in action.
	US9491589	Mobile device safe driving	 61/695,294 filed Aug. 30, 2012 entitled “Mobile Device Kid Space,” the entire disclosures of each of these applications being incorporated by reference in their entirety.	This application is a continuation of and claims priority under 35 U.S.C. Section 120 to U.S. patent application Ser. No. 13/726,097, filed Dec. 22, 2012, entitled “Mobile Device Safe Driving” which claims priority under 35 U.S.C. Section 119(e) to U.S. Provisional Application Ser. No. 61/580,131 filed Dec. 23, 2011 entitled “Mobile Device Safe Driving” and U.S. Provisional Application Ser. No. 61/695,294 filed Aug. 30, 2012 entitled “Mobile Device Kid Space,” the entire disclosures of each of these applications being incorporated by reference in their entirety.
	US9330296	Recognizing entity interactions in visual media	, human interactions, such as, “the KIDs visiting grandma,” “the girls out on the town,” “us walking down the aisle” or “me cutting the birthday cake.	The illustrative image/video tagger module 132 performs such tagging automatically, e.g., without the need for manual review of the images by a human. The image/video tagger module 132 can, among other things, facilitate image search and retrieval using higher-level/conceptual search terms or natural language, including familiar phrases that describe, e.g., human interactions, such as, “the kids visiting grandma,” “the girls out on the town,” “us walking down the aisle” or “me cutting the birthday cake.” The image/video tagger module 132 may be particularly useful in contexts in which the desired high-level classifications are difficult to represent using lower-level features.
	CN107194338A	Traffic environment pedestrian detection method based on human body tree graph model		
license plate				
	US9685079	Short-time stopping detection from red light camera evidentiary photos	 These systems can detect the violating vehicles by identifying LICENSE PLATE numbers and/or the make and model of the vehicles from photographs captured by red light cameras.	Red Light Camera Systems (RLCS) are traffic regulation enforcement systems that detect and identify vehicles that enter an intersection against a red traffic light and, therefore, are in violation of a traffic regulation. These systems can detect the violating vehicles by identifying license plate numbers and/or the make and model of the vehicles from photographs captured by red light cameras. A citation is then issued to the owner of the vehicle identified in a photograph.
	US9443314	Hierarchical conditional random field model for labeling and segmenting images	 In one embodiment, LICENSE PLATEs appearing in the street view image can be detected and blurred or removed.	As described above, in one embodiment, the hierarchical classification technique can be used to determine pixel-by-pixel labels for unlabeled street view images. This would allow, for example, a mapping application to automatically identify objects depicted in large street view image databases. Such an automated labeling technique is desirable because street view images for such applications are acquired in very large quantities (e.g., by driving a car along streets and continuously capturing images). The labels may be useful, for example, to identify buildings in the street view images which may then be associated with a particular address, company, or person in the map application. Additionally, for privacy purposes, miscellaneous objects such as people and cars could be automatically blurred or removed from street view images. In one embodiment, license plates appearing in the street view image can be detected and blurred or removed.
	US10371518	Surveying system	 On the image data, algorithms for face detection and detection of LICENSE PLATEs on cars can be applied.	The invention also relates to a blurring functionality of of a surveying system. On the image data, algorithms for face detection and detection of license plates on cars can be applied. In order to protect the privacy of people, the detected faces or license plates can then be made unrecognizable, e. g. by blurring the corresponding areas in the images and also in the point cloud.
	WO2018072233A1	Method and system for vehicle tag detection and recognition based on selective search algorithm		
	US10467458	Joint face-detection and head-pose-angle-estimation using small-scale convolutional neural network (CNN) modules for embedded systems	 Due to these constraints, the hardware CNN module within Hi3519 SoC is typically only suitable for performing simple applications such as handwritten digit recognition and LICENSE PLATE recognition.	For the example of the hardware CNN module within Hi3519 SoC, the maximum input dimension for the first FC layer is 1024, and the number of neurons in the middle FC layers is at most 256. The dimension of the CNN module output is at most 256. Due to these constraints, the hardware CNN module within Hi3519 SoC is typically only suitable for performing simple applications such as handwritten digit recognition and license plate recognition. For more challenging applications such as face recognition, directly applying a small-scale CNN module such as CNN module 100 would be infeasible at least because of the following reasons. First, the maximum input resolution of 1280 pixels (such as 40×32) is very restrictive, because a face image down-sampled to this resolution loses too much important facial information. Second, the learning capacity of the small CNN module 100 is also extremely limited.
limb				
	EP3579196A1	Human clothing transfer method, system and device		
	US9384448	Action-based models to identify learned tasks	 As shown, the articulated avatar 36 is defined by the position of the standard tree-like LIMB structure composed of connected ellipsoids associated with the head 38, the torso 40, the  upper arms  42 and 44, the  lower arms  46 and 48, the  upper legs  50 and 52, and the  lower legs  54 and 56.	 FIG. 4 illustrates an example of an image 68 that may be input to the agent 20 and is indicative of one example learning environment state 26. As shown in the image 68, the avatar 36 is articulated to illustrate its current state in the environment 22. As shown, the articulated avatar 36 is defined by the position of the standard tree-like limb structure composed of connected ellipsoids associated with the head 38, the torso 40, the  upper arms  42 and 44, the  lower arms  46 and 48, the  upper legs  50 and 52, and the  lower legs  54 and 56. In one embodiment, the three dimensional pose of the avatar 36 is defined by the three dimensional joint angles between connected body parts. During operation, the agent 20 controls the avatar 36 by issuing actions of the form (x, xi), where x refers to a specific joint angle and xi defines a positive or negative increment. Each body part inherits the coordinate system of its parent part. If, for example, the angle connecting the  upper leg  50 or 52 to the torso 40 is changed, the entire leg will rotate accordingly.
	US9448164	Systems and methods for noninvasive blood glucose and other analyte detection and measurement using collision computing	 The DC component of the signal is attributable to the bulk absorption of the skin tissue, while the AC component is directly attributable to variation in blood volume in the tissue caused by the pressure pulse of the cardiac cycle as each cardiac cycle of the heart pumps blood to the LIMBs.	As the tissue is highly perfused, it is relatively easy to detect the pulsatile component of the cardiac cycle. The DC component of the signal is attributable to the bulk absorption of the skin tissue, while the AC component is directly attributable to variation in blood volume in the tissue caused by the pressure pulse of the cardiac cycle as each cardiac cycle of the heart pumps blood to the limbs. Even though this pressure pulse is somewhat damped by the time it reaches the skin, it is enough to distend the arteries and arterioles in the subcutaneous tissue. The cardiac cycle refers to a complete heartbeat from its generation to the beginning of the next beat, and so includes the diastole, the systole, and the intervening pause. The frequency of the cardiac cycle is described by the heart rate, which is typically expressed as beats per minute.
	US9189886	Method and apparatus for estimating body shape	There are several methods for representing body shape with varying levels of specificity: 1) non-parametric models such as visual hulls (Starck and Hilton 2007, Boyer 2006), point clouds and voxel representations (Cheung et al. 2003); 2) part-based models using generic shape primitives such as cylinders or cones (Deutscher and Reid 2005), superquadrics (Kakadiaris and Metaxas 1998; Sminchisescu and Telea 2002) or “metaballs” (Plankers and Fua 2003); 3) humanoid models controlled by a set of pre-specified parameters such as LIMB lengths that are used to vary shape (Grest et al.	There are several methods for representing body shape with varying levels of specificity: 1) non-parametric models such as visual hulls (Starck and Hilton 2007, Boyer 2006), point clouds and voxel representations (Cheung et al. 2003); 2) part-based models using generic shape primitives such as cylinders or cones (Deutscher and Reid 2005), superquadrics (Kakadiaris and Metaxas 1998; Sminchisescu and Telea 2002) or “metaballs” (Plankers and Fua 2003); 3) humanoid models controlled by a set of pre-specified parameters such as limb lengths that are used to vary shape (Grest et al. 2005; Hilton et al. 2000; Lee et al. 2000); 4) data driven models where human body shape variation is learned from a training set of 3D body shapes (Anguelov et al. 2005; Balan et al. 2007a; Seo et al. 2006; Sigal et al. 2007, 2008).
	WO2016193030A1	Sleep monitoring method and system	 Examples of gross body movements of the subject may include whole body movement or LIMB movements.	 Optionally, the method further comprises analyzing the body movement data to detect gross body movements of the subject, and the determining the sleep state of the subject to be the awake-non- vocalization state is further based on the detection of the gross movement. Examples of gross body movements of the subject may include whole body movement or limb movements. In case of, for example, darkness or a particular positioning of the face of the subject, in addition to eye openness it may be more reliable to account for the gross body movements as well. Namely, for example, presence of gross body movements during a prolong period of time may indicate an awake state and absence of gross body movements may indicate sleep. As such, the determining the sleep state of the subject to be the awake-non- vocalization state may be more reliable and accurate when the determining is based on both on the detection of eye openness and gross body movements. 
male				
	US10586372	Online modeling for real-time facial animation	 The identity PCA model may be computed from a data set consisting of 100 MALE and 100 feMALE head scans of young adults, such as the data provided described by V.	An exemplary implementation of one embodiment of the present disclosure may employ a blendshape model of 34 blendshapes. The identity PCA model may be computed from a data set consisting of 100 male and 100 female head scans of young adults, such as the data provided described by V. Blanz and T. Vetter in “A morphable model for the synthesis of 3D faces”, SIGGRAPH 1999. 50 PCA basis vectors could be used to approximate the neutral expression. The corrective deformation fields may be represented by 50 Laplacian eigenvectors for each coordinate. Suitable parameters for the optimizations as discussed above may be set to β2=0.5, β2=0.1, and β3=0.001, as well as λ1=10 and λ2=20, and σ=10 for the coverage threshold.
	US10436342	Flow meter and related method	 A MALE latch component is connected to the first housing component opposite the pivot connection and a feMALE latch component is coupled to the second housing component opposite the pivot connection.	In certain embodiments of the present disclosure, a system for controlling flow through a drip chamber includes a drip chamber holster, an imaging device, a flexible tube, and a valve. The drip chamber holster receives and secures a drip chamber. The imaging device is configured to capture images of the drip chamber and create image data from the captured images. The flexible tube is connected to the drip chamber and the lumen defined by the tube is in fluid communication with the drip chamber. The valve is axially disposed around a portion of the flexible tube and controls flow through the tube and ultimately the drip chamber. The valve includes first and second casing components pivotally connected to each other and complimentarily align to form an enclosure when in a closed position. Inlet and outlet holes are defined in the valve casing when it is closed and a plunger hole is defined in the first casing component. A male latch component is connected to the first housing component opposite the pivot connection and a female latch component is coupled to the second housing component opposite the pivot connection. A substantially incompressible filler is enclosed within the casing. The filler defines a conduit, sized for a specific tube, which connects the inlet and the outlet holes of the valve casing. There are a plurality of variations in the stiffness of the filler. The portion of the filler proximate the tube may be stiffer than the surrounding filler. The plunger is longitudinally aligned with the plunger hole and attached to the actuator. The actuator is configured to actuate the plunger into and out of the plunger hole to engage the filler. Changes in displacement by the plunger alter the forces on the section of the tube within the casing resulting in the lumen changing size. The area of the head of the plunger can be smaller than the longitudinal cross-section of the lumen disposed within the housing.
	US9448164	Systems and methods for noninvasive blood glucose and other analyte detection and measurement using collision computing	 The use of multiple illumination-detection pairs to target the same layer in the skin tissue, as described above (that is by increasing the tomographic states), can expand the glucose measurement capability and increase the ability of the system to compensate for MALE and feMALE subjects with varying skin thickness, surface texture, and changes due to aging, gender, and/or ethnic differences.	The probe of FIG. 91, as detailed in FIG. 92, is designed such that targeting of different skin tissue layers by tomographic sequences EVa1, EVa2, . . . , EVax; DVb1, DVb2, . . . DVby; and, SVc1, SVc2, . . . SVcz can be verified based on examination of acquired spectra based on absorption of spectral bands known to be associated with biochemical compounds other than the analyte of interest, (such as by examination of intensity and absorbance amplitude profiles of the fat, protein and collagen bands as shown in FIG. 93 for different ring illuminations). Profiles of absorption gradients leading to the assessment of acceptable feature pairs is a function of the tomographic sequence and the results of the above expression, based on an anatomical and physiological understanding of skin tissue. The use of multiple illumination-detection pairs to target the same layer in the skin tissue, as described above (that is by increasing the tomographic states), can expand the glucose measurement capability and increase the ability of the system to compensate for male and female subjects with varying skin thickness, surface texture, and changes due to aging, gender, and/or ethnic differences.
	US9189886	Method and apparatus for estimating body shape	 One can fit a gender-neutral body model that is capable of representing MALE or feMALE bodies.	In many applications, the gender of a person being scanned may be known or the user may specify that information. In these cases, body shape using the appropriate gender-specific body model is estimated (Section 3). When gender is not known there are several options. One can fit a gender-neutral body model that is capable of representing male or female bodies. Second, one can fit using both male and female body shape models and select the one that achieves a lower error of the objective function. Third, one can fit a gender-neutral model and then classify gender directly from the estimated shape coefficients, as described in Section 10. Once gender is known, a refined shape estimate using the appropriate gender-specific shape model is produced. The same strategies can be used for other subpopulations (e.g. to infer ethnicity).
	US10665326	Deep proteome markers of human biological aging and methods of determining a biological aging clock	 The group of patients taking both insulin and glucose-lowering drugs and the group taking only glucose-lowering drugs tend to be predicted younger than their chronological age for MALE samples.	Additionally, DNN predictors of biological age can be based on blood test values, such as the blood protein concentrations. FIG. 15 shows an example of a biological age clock or a report thereof. To investigate the predictive ability of deep proteomic clocks on the efficacy of drugs in diseased patients, we explored the log 2aging ratios. Blood samples from the group of diabetic patients were used to predict their biological age. In general, all diabetic patients tended to be predicted to have an older biological age compared to their chronological age. The group of patients taking both insulin and glucose-lowering drugs and the group taking only glucose-lowering drugs tend to be predicted younger than their chronological age for male samples. The difference between groups taking both insulin and glucose-lowering drugs (e.g., first group, far left) and taking insulin only (e.g., second group, middle right) is significant, and the first group is predicted younger than the second group. The first group also tends to be predicted to be biologically aged younger than patients taking neither insulin nor glucose-lowering drugs (e.g., third group, nothing, far right). The difference between groups taking only glucose-lowering drugs (e.g., fourth group, middle left) and taking insulin only (e.g., second group) is also significant, and the fourth group is predicted younger than the second group. Additionally, the fourth group also tends to be predicted younger patients taking neither insulin nor glucose-lowering drugs (e.g., third group).
man				
	US9501824	Non-touch optical detection of vital signs from amplified visual variations of reduced images of skin		
	WO2014098308A1	Method for displaying unified app information based on open app store, and computer readable recording medium therefor		
	WO2017161401A1	Method for the self-location of vehicles		
	US10860683	Pattern change discovery between high dimensional data sets	 Moreover, MANy commonly used metrics, such as L-norms, K-L divergence, or more generally, BregMAN divergence, are defined based on the Euclidean distance.	One may wonder what makes high-dimensional data different when it comes to change detection. For almost all the magnitude change detection methods, an invisible pitfall arises with the increase of data's dimensionality. The tricky conflict between Euclidean distance and dimensionality is illustrated in FIG. 1. Here we use Euclidean distance because it is the most intuitive and popular metric. Moreover, many commonly used metrics, such as L-norms, K-L divergence, or more generally, Bregman divergence, are defined based on the Euclidean distance. FIG. 1 gives two pairs of vectors (v1, v2) and (v′1, v′2), and the angles, θ, θ′ between each pair, respectively. Under Euclidean distance, ∥v1−v2∥, and ∥v1′−v2′∥ are the same. In other words, Euclidean distance fails to detect θ≠θ′, and therefore, is unable to differentiate the length difference from the direction difference introduced by the dimensionality.
	US10049492	Method and apparatus for rendering facades of objects of interest from three-dimensional point clouds	Automatic urban scene object recognition refers to the process of segmentation and classifying of objects of interest in an image into predefined seMANtic labels, such as “building”, “tree” or “road”.	Automatic urban scene object recognition refers to the process of segmentation and classifying of objects of interest in an image into predefined semantic labels, such as “building”, “tree” or “road”. This typically involves a fixed number of object categories, each of which requires a training model for classifying image segments. While many techniques for two-dimensional (2D) object recognition have been proposed, the accuracy of these systems is to some extent unsatisfactory, because 2D image cues are sensitive to varying imaging conditions such as lighting, shadow etc.
military				
	EP3293700A1	3d reconstruction for vehicle		
	US9225889	Photographic image acquisition device and method	 In particular, the amount of computational power that would be required to perform such computations in real-time during image acquisition (as opposed to post-capture) exceeds by orders of magnitude the computational power typically available in most cameras, including high-end cameras used in certain MILITARY applications.	Importantly, post-capture computational super-resolution methods from the prior art as disclosed herein, are computationally expensive. In particular, the amount of computational power that would be required to perform such computations in real-time during image acquisition (as opposed to post-capture) exceeds by orders of magnitude the computational power typically available in most cameras, including high-end cameras used in certain military applications. Moreover, even if the sufficient computational power were available for a real-time super-resolution reconstruction, the additional bandwidth to transmit the super-resolved images and the additional storage space to record them would be impractical in many applications.
	US9940726	System and method to improve object tracking using tracking fingerprints	, a car, a truck, a MILITARY vehicle, a watercraft, an aircraft, an autonomous aircraft, a spacecraft, a missile, a rocket, etc.	The image processing system 102 may be configured to process image data of the sequence of images 140 and to provide object tracking of an object in the sequence of images 140. The object may be indicated based on a user input (e.g., a user may select an object in an image via a user input device) or the object may be selected automatically by the image processing system 102 based on criteria stored at a memory accessible to the image processing system 102. To perform the object tracking, the image processing system 102 may include a first tracking system 110 and a second tracking system 130. The first tracking system 110 may be configured to maintain “tracking fingerprints” corresponding to the object in the sequence of images 140 and to support the second tracking system 130. The second tracking system 130 may be configured to track the object in the sequence of images 140. The object may be a moving object or an object that moves with respect to a field of vision of the image (or video) capture device 104. For example, a moving object may include a person that is walking or running, a vehicle (e.g., a car, a truck, a military vehicle, a watercraft, an aircraft, an autonomous aircraft, a spacecraft, a missile, a rocket, etc.), an object located on a moving vehicle, or some other type of moving object. As another example, the image (or video) capture device 104 may be coupled to an aircraft, such as an autonomous aircraft (e.g., a drone aircraft), and the object may move with respect to the field of vision of the image (or video) capture device 104 due to movement of the aircraft.
	US10554901	Real-time HDR video for vehicle control	 The HDR system may be provided as part of, or for use in, a MILITARY or emergency response vehicle, such as a HUMVEE, tank, jeep, fire truck, police vehicle, ambulance, bomb squad vehicle, troop transport, etc.	The HDR system may be provided as part of, or for use in, an automobile, such as a consumer's “daily driver” or in a ride-sharing or rental car. Such a vehicle will typically have 2 to 7 seats and a form factor such as a sedan, compact SUV or CUV, SUV, wagon, coupe, small truck, roadster, or sports car. Additionally or alternatively, the HDR system may be provided as part of, or for use in, a cargo truck, semi truck, bus, or other load carrying vehicle. The HDR system may be provided as part of, or for use in, a military or emergency response vehicle, such as a HUMVEE, tank, jeep, fire truck, police vehicle, ambulance, bomb squad vehicle, troop transport, etc. The HDR system may be provided as part of, or for use in, a utility vehicle such as a forklift, warehouse robot in a distribution facility, office mail cart, golf cart, personal mobility device, autonomous security vehicle, Hollywood movie dolly, amusement park ride, tracked or trackless mine cart, or others. The HDR system may be provided as part of, or for use in, a non-road-going vehicle, such as a boat, plane, train or submarine. In fact, it may be found that the HDR camera offers particular benefits for vehicles that operate in lighting conditions not well suited to the human eye, such as in the dark, among rapidly flashing lights, extremely bright lights, unexpected or unpredictable lighting changes, flashing emergency lights, light filtered through gels or other devices, night-vision lighting, etc. Thus, compared to vehicles controlled solely by a human, a vehicle using the control system may perform better in environments such as night, underground, Times Square, lightning storms, house fires or forest fires, emergency road conditions, military battles, deep-sea dives, mines, etc.
	US10311297	Determination of position from images and associated camera positions	Point mensuration is required in wide range of MILITARY and non-MILITARY applications, many of which require accurate determination of geographic coordinates in a timely manner.	Point mensuration is required in wide range of military and non-military applications, many of which require accurate determination of geographic coordinates in a timely manner. Such applications include, but are not limited to, indirect targeting of precision guided munitions, in which case extant rules of engagement adhered to by a military unit, derived from both targeting policy and legal constraints, determine the required accuracy, precision and timeliness.
office				
	US10748319	Composite radiographic image that corrects effects of parallax distortion	 Such networking environments are commonplace in OFFICE networks, enterprise-wide computer networks, intranets and the Internet, which are all types of networks.	The computer 900 may operate in a networked environment using logical connections to one or more remote computers. These logical connections may be achieved by a communication device coupled to or integral with the computer 900; the application is not limited to a particular type of communications device. The remote computer may be another computer, a server, a router, a network personal computer, a client, a peer device, or other common network node, and typically includes many or all of the elements described above relative to the computer 900, although only a memory storage device has been illustrated in FIG. 9. The computer 900 can be logically connected to the Internet 972. The logical connection can include a local area network (LAN), wide area network (WAN), personal area network (PAN), campus area network (CAN), metropolitan area network (MAN), or global area network (GAN). Such networking environments are commonplace in office networks, enterprise-wide computer networks, intranets and the Internet, which are all types of networks.
	US10679044	Human action data set generation in a machine learning system	 All videos in the UT Kinects data set were taken in an OFFICE environment with similar lighting conditions and the positions of the camera was fixed.	The UT Kinects data set is a human activity recognition data set developed by researchers from the University of Texas and captured by a KINECT sensor available from Microsoft Corporation. The UT Kinects data set includes 10 action labels including walk, sit-down, stand-up, throw, push, pull, wave-hand, carry, and clap-hands. The UT Kinects data set also includes 10 subjects that perform each of these actions twice in front of a rig of RGB camera and Kinect. This means the UT Kinects data set includes a total of 200 action clips of RGB and depth data (however depth data is ignored for purposes of the following experiments). All videos in the UT Kinects data set were taken in an office environment with similar lighting conditions and the positions of the camera was fixed. For the training setup, 2 random subjects were left out (20%, used for testing) and the experiments were carried out using 80% of the subjects. The reported results are the average of six individual runs. Results of the 6 train/test runs were constant throughout the experiments.
	US9501824	Non-touch optical detection of vital signs from amplified visual variations of reduced images of skin	 This can be particularly advantageous when the host computer system is the hand-held device 2100 subscriber's OFFICE computer system.	The PIM 2142 includes functionality for organizing and managing data items of interest to the user, such as, but not limited to, e-mail, contacts, calendar events, voice mails, appointments, and task items. A PIM application has the ability to transmit and receive data items via the wireless network 2105. PIM data items may be seamlessly integrated, synchronized, and updated via the wireless network 2105 with the hand-held device 2100 subscriber's corresponding data items stored and/or associated with a host computer system. This functionality creates a mirrored host computer on the hand-held device 2100 with respect to such items. This can be particularly advantageous when the host computer system is the hand-held device 2100 subscriber's office computer system.
	US10372982	Methods and apparatus for repetitive iris recognition	Biometric recognition methods are used in the fields of security, protection, financial transaction verification, airports, OFFICE buildings, to determine or verify the identity of an individual person based on captured biometric characteristics of the individual person.	Biometric recognition methods are used in the fields of security, protection, financial transaction verification, airports, office buildings, to determine or verify the identity of an individual person based on captured biometric characteristics of the individual person. Various factors can affect the performance of biometric recognition. For example, variations in pose between the images results in matching errors even if the faces being compared are from the same person. For another example, the dynamic range or sensitivity of the sensor may not be sufficient to capture biometric information related to the face. In addition, the illumination may vary between the images being matched in the face recognition system. Changes in illumination can result in poor match results since detected differences are due to the illumination changes and not to the fact that a different person is being matched.
	US9842266	Method for detecting driver cell phone usage from side-view images	Many of the enacted laws are primary enforcement which means an OFFICEr may cite a driver for using a hand-held mobile phone without any other traffic offense taking place.	Many of the enacted laws are primary enforcement which means an officer may cite a driver for using a hand-held mobile phone without any other traffic offense taking place. However, to enforce the rules, current practice requires dispatching law enforcement officers at the road side to visually examine oncoming cars or having human operators manually examine image/video records to identify violators. Both of the processes are expensive, difficult, and ultimately ineffective. Therefore, there is a need for an automatic or semi-automatic solution.
pedestrian				
	US9363489	Video analytics configuration	 Additionally, cameras may cover crowded areas and may include objects which are occluded by other objects, for example static occlusions where an urban feature occludes a portion of a street thereby occluding PEDESTRIANs and vehicles passing behind the urban feature or where PEDESTRIANs are occluded by each other such as in crowded environments.	Additionally, many video surveillance networks cover a wide geographic area and may have non-overlapping or non-contiguous view field coverage. Additionally, cameras may cover crowded areas and may include objects which are occluded by other objects, for example static occlusions where an urban feature occludes a portion of a street thereby occluding pedestrians and vehicles passing behind the urban feature or where pedestrians are occluded by each other such as in crowded environments.
	CN106339725A	Pedestrian detection method based on scale constant characteristic and position experience	The invention belongs to technical field of image processing, it is related to a kind of PEDESTRIAN detection method.	The invention belongs to technical field of image processing, it is related to a kind of pedestrian detection method.
	EP2960829A2	Lane boundary estimation device and lane boundary estimation method		
